RATING,QUOTE
FAKE,"WHOOPING COUGH SOLUTION !! Whooping cough, isang virus na kumakalat ngayon. Ano nga ba ang Whooping cough? Sino-sino ba ang mga natatamaan nito? Meron bang solusyon dito? Sasagutin lahat yan ni Doc.W.Ong (a virus that is currently spreading. What exactly is Whooping cough? Who can be affected by this? Is there a solution to this? Doc. W. Ong will answer all of that). Hindi mo na kailangan pang maghanap ng mga antibiotic dahil ipapakilala ko sa inyo ang isang gamot na epektibo at pwedeng inumin sa anumang edad. Vitalungs lang ang tanging lung supplement na may kakayahang lunasan ang anumang lung conditions o respiratory diseases kagaya ng whooping cough at iba pa (You don’t need to look for antibiotics because I will introduce you to a medicine that is effective and can be taken at any age. Vitalungs is the only lung supplement that has the ability to treat any lung condition or respiratory disease such as whooping cough and others)."
FAKE,"Willie Ong: Ako bilang isang internist cardiologist, ito po linya natin – sakit sa puso. Ang maipapayo ko sa inyo ay uminom ng Vascuhealth. Ang gamot na ito ay makakatulong para maging normal ang iyong heartbeat. Mawala ang paninikip ng dibdib at palpitasyon. Ito talaga inirerekomenda ko sa mga pasyente ko (As an internist cardiologist, this is our line of work – heart disease. What I can advise all of you is to drink Vascuhealth. This medicine will help normalize your heartbeat and remove chest tightness and palpitations. This is really what I recommend to my patients)."
FAKE,"REST IN PEACE GOV. AYEC PIMENTEL We are saddened to announce the passing of Surigao del Sur Governor Alexander Ayec Pimentel at the age of 71 due to lung cancer. It was confirmed by his family today April 01, 2024. #CondolenceToThePimentelFamily"
FAKE,"BUKOL SA MATRES: Paano Maalis Ang Ovarian Cyst (CYST IN THE UTERUS: How to Remove Ovarian Cyst). IT’S BETTER [TO BE] SAFE THAN SORRY. LIGTAS – MABISA – MATIPID (SAFE, EFFECTIVE AND CHEAP), RECOMMENDED BY DOCTORS, CASH ON DELIVERY (COD). Ang DTX500 daw ay makakatulong sa malubha niyang sakit. Agad siyang bumili para masubukan kung ito ba ay epektibo talaga. Matapos ang isang halos dalawang buwan, unti-unti raw bumuti ang pakiramdam niya, hanggang nalampasan na niya ang taning na binigay sa kaniya ng mga doctor (DTX500 is said to help ease her severe illness. She immediately bought it to test if it was really effective. After about two months, she gradually felt better, until she went past the time the doctors said she would live)."
FAKE,"P5,000.00 CASH ASSISTANCE LAHAT NG MAY NATIONAL ID (P5,000.00 cash assistance to all who have a national ID). APPLY ONLINE!"
FAKE,Philippine Airlines: DREAMING OF TRAVELING? We offer the opportunity to visit any country for free! Go to our website and apply for a card for 6 free flights worldwide for only P168!
FAKE,"PHILIPPINE NATIONAL BANK SCHOLARSHIP 2024. MAY ANAK KA BA NA NAG-AARAL (Do you have a child who’s studying?) ELEMENTARY 10,000. HIGH SCHOOL 15,000. COLLEGE 20,000 REQUIREMENTS: SCHOOL ID AND REPORT CARD. MAG-REGISTER NA (Register now)!!"
FAKE,"DOLE SCHOLARSHIP 2024. Elementary – 3,000 Monthly Highschool – 5,000 Monthly College – 8,000 Monthly REQUIREMENT SCHOOL ID CARDREGISTER NOW!!"
FAKE,"DOLE TUPAD IS NOW HIRING Elementary, Highschool kahit College graduate Pwede (Elementary, highschool even college graduate is allowed) 18-50 years Old 800 Pesos A Day BUONG PILIPINAS (All over the Philippines)"
FAKE,"Pope Francis spoke again: Eat whatever you want for Easter, the sacrifice is not in the stomach, but in the heart. They refrain from eating meat, but don’t talk to their siblings or relatives, don’t visit their parents or bother them to attend to them. Don’t share food with the needy, forbid children to see their father, forbid grandparents to see their grandchildren, criticize other people’s lives, beat their wife, etc.,"
FAKE,Plastic Peke na Bigas. Ganito pala proseso at Paggagawa (Fake plastic rice. So this is how it’s processed and made).
FAKE,"SSS SCHOLARSHIP PROGRAM 2024. FULL SCHOLARSHIP PROGRAM WITH ALLOWANCE: COLLEGE – P10,000, SENIOR HIGHSCHOOL – P8,000, JUNIOR HIGHSCHOOL – P6,000, ELEMENTARY – P4,000. Deadline of Application: January 20, 2024. APPLY NOW!"
FAKE,"LAND BANK SCHOLARSHIP 2024-2025. COLLEGE STUDENTS: P10,000.00. SENIOR HIGH: P 9,500.00. HIGH SCHOOL: P 8,000.00. ELEMENTARY: P 7,500.00. Requirements: School id, Report card. APPLY HERE: [Link]"
FAKE,Source DSWD Official. Narito ang bagong listahan ng 4Ps at listahan na makakasama sa PAY Out. Nasa Link ang Listahan. Hanapin sa Link Ang Pangalan mo (Here is the new list of 4Ps and list of those included in the PAY Out. The List is in the Link. Find your name in the link)
FAKE,"Good News!! 8k to 10K ayuda mula kay PBBM | LAHAT NG NAG MESSAGE SA AMIN, MAG PALISTA KAYO DITO SA LINK PARA MAIPADALA NA SA INYO (Good news! P8,000 to P10,000 financial aid from [President Marcos] | Click this link and be part of the list to be given financial aid)."
FAKE,"SUPER TYPHOON NGAYONG LINGGO! BAGYONG ALAKDAN (This week! Typhoon Alakdan) LATEST WEATHER UPDATE! JAN 4, 2024."
FAKE,"PCG HIRING 2024. APPLICATION NOW OPENED. PHILIPPINE COAST GUARD HIRING: K12 GRADUATES. 5’0 Height Above. NO AGE LIMIT. P43,000.00 Monthly Salary."
FAKE,"DSWD 4PS UPDATES: AYUDA PARA SA MAHIHIRAP NA PILIPINO. MAG PALISTA NA DITO. Kapag naka palista na kayo mag hintay Ng text mula sa DSWD upang iclaim ang P7000 nyo. Basta poor at Hindi mayaman kasama dito. Tatanggap ang DSWD Ng application Hanggang December 31, 2023 lang (CASH ASSISTANCE FOR POOR FILIPINOS. REGISTER HERE. Once you are registered, wait for a text from the DSWD to claim your P7,000. Poor and not rich individuals are included here. The DSWD will only accept applications until December 31, 2023)."
FAKE,"Ninоy Aquіno International Airport. Start of sales in 2023! From now on, we will clear out the airport warehouse and sell luggage that has gone unchecked for 6 months. Ninоy Aquino Airport can dispose of these suitcases, organise a charity event and distribute the forgotten luggage for only ₱556.54 per suitcase!"
FAKE,"CHED SCHOLARSHIP PROGRAM 2023-2024. Full Allowance for Private College/University P120,000. Full Allowance for Public College/University P80,000."
FAKE,DOH was surprised to discover the main cause of osteoarthritis! Doctors have successfully researched a new method to help patients recover from their illnesses without taking medication. Effective after only 14 days of treatment!
FAKE,Lumaban sa studio. Bakit binugbog si Kardiyolog Willie Ong sa Live TV? Nabigla ang mga pensionado nang malaman nila ang katotohanan (Fight in the studio. Why was Cardiologist Willie Ong beaten up on Live TV? The pensioners were shocked when they learned the truth).
