RATING,QUOTE
FALSE,"KAKAPASOK LANG NA BALITA! SPY NG CHINA NAPAG-ALAMANG CHINESE MILITARY! NAKAKA BAHALA AFP NAALARMA NA (Just in! Chinese spy confirmed to be Chinese military! AFP is alarmed). GRABE NAKAKAKILABOT ITO! CHINESE ARMY NASA MANILA NA. TATLONG LIBONG MILITAR NG CHINA NASA PILIPINAS NA? ARESTADONG SPY UMAMIN NA (This is chilling! Chinese army is now in Manila. Are 3,000 Chinese military personnel in the Philippines already? Arrested spy confessed)."
FALSE,"KAKAPASOK LANG PinaLusob Sabay Sabay! Amerika Japan Australia Tinapos ang CHlNA! Pinas May NATO na! (Just in. Simultaneous attacks! America, Japan and Australia ended China! The Philippines has its own [North Atlantic Treaty Organization] now!)"
FALSE,"KAPAPASOK LANG: NAG-RESIGN na SA WAKAS! DILG ABALOS KUMPIRMADO Grabe ang Nangyari Pres marcos BISTADO (Just in: resigned finally! DILG Abalos confirmed/What happened was harsh, Pres Marcos was busted)."
FALSE,"BREAKING: Russian President Vladimir Putin has declared that RUSSIA will SUPPORT IRAN if the United States attacks Iran’s soil in support of Israel,"
FALSE,"KAKAPASOK LANG Grabe to! Walang Nagawa si Raffy Tulfo sa Matinding Utos ni Cong Marcoleta at Zubiri (Just in, this is serious! Raffy Tulfo can’t do anything against the grave order of [SAGIP Party-list Rep. Rodante] Marcoleta and [Senate President Juan Miguel] Zubiri TANGGAL SA PWESTO. MARCOLETA WINASAK SI TULFO, IYAK (Removed from office. Marcoleta crushed Tulfo)"
FALSE,ULTIMATUM NG JAPAN. NAGDEKLARA NASA CHINA GYERA! (Japan’s ultimatum. Declared war on China)!
FALSE,"NAG RESIGN NA. GRABE ANG GINAWA NILA KAY VP SARA. LAHAT NAGULAT! (Resigned already! What they did to VP Sara was harsh. Everyone was shocked)! Ngayon tila nag-iba ang ihip ng hangin. Matapos makita sa videong inupload ng Malacañang na kung saan, sapul sa camera ang tila harap-harapang pandededma ni Pangulong Bongbong Marcos kay Vice President Sara Duterte. (The wind seems to blow differently now. After it was seen in a video uploaded by Malacañang, it was caught on camera that President Bongbong Marcos snubbed Vice President Sara Duterte.)"
FALSE,AATAKE NG SABAY SABAY! PBBM NAGULAT ANG CHINA! UNANG PANG GYERA NI PBBM! PILIPINAS GUMAWA NG NATO (Will attack simultaneously! PBBM surprised China! First war act of PBBM. Philippines created its own NATO)!
FALSE,US Send Marines to Disputed Island to Help Philippines and Taiwan to Prevent China Invasion
FALSE,KULONG KA NGAYON. ITO ANG BANGUNGUT NI DENR SEC YULO! TINAPOS NI TULFO (You’re now going to jail! This is the nightmare of DENR Sec Yulo! Ended by Tulfo)!
FALSE,DU30 TINAPOS ANG CHINA. SA WAKAS! DUTERTE PINAGTANGGOL ANG PINAS (Duterte ended China. Finally! Duterte defended the Philippines).
FALSE,May lumubog na namang aircraft carrier ng America. [P]aalam us gerald pord (sic) nabawasan nanamn ang [U.S.] navy. Another aircraft carrier of America sank. Goodbye US Gerald Ford the U.S. Navy decreased in number again.
FALSE,NAGULAT ANG CHINA! PBBM PIRMADO NA UTOS! NAGDEKLARA NG GYERA? UUNAHIN NA CHINESE AMBASSADOR NG CHINA (China was shocked! PBBM signed the order! Declared war? It will start with the Chinese ambassador of China).
FALSE,"KAKAPASOK LANG NAGKAGULO NA! PNP at ARMY KUMANTA NA LUMUSOB MALACANANG LIZA SMUGZ TAMBA KUTING WASAK (Just in! This is chaos! PNP and Army exposed something, charged into Malacañang. Liza, Smugz, Tamba, Kuting were destroyed)."
FALSE,"CHINA, UMATAKE ULIT! PERO IMBES MANALO, SILA ANG KINARMA! (China attacked yet again! But instead of winning, they received karma!) LATEST VIDEO NG PAG-ATAKE. CHINA NAAKTUHANG NANG-AATAKE! KIKILOS NA ANG PINAS. NAPAATRAS ANG CHINA! (Latest video of the attack. China caught attacking! The Philippines is making its move, made China retreat!)"
FALSE,China panic! US B-52 and FA-50 drops thousand mines bomb in Scarborough Shoal.
FALSE,"NA-SHOCKED LAHAT PRES MARCOS BINIGLA ang LAHAT sa NAGING DISISYON LIZA ARANETA MARCOS NAMUTLA IYAK (Everyone was shocked. President Marcos stunned all with his decision. [First Lady] Liza Araneta-Marcos pales in fright, cried) MARCOS RESIGN NA. ITO ANG BIGLAANG DESISYON NI PRES MARCOS (Marcos has resigned. This is the sudden decision of President Marcos)"
FALSE,"KAKAPASOK LANG Diosko Hala! Grabe ang Nangyari kay Former Pres Duterte Lahat Nabigla sa Balitang to! (Just in. Oh, my God! What happened to former President Duterte is dire! All were shocked with this news!) DU30 PUMANAW NA. GRABE ANG GINAWA NILA KAY FPRRD (Duterte is dead. What they did to [Duterte] is too much)"
FALSE,PBBM kauna unahang presidente pumunta sa Basilan (President Marcos is the first president to go to Basilan)
FALSE,"MATINDI TO TAONG BAYAN nag TIPON-TIPON nasa HARAP ng MALACANANG PRES MARCOS FL LIZA NAGPANIC IYAK (This is bad. People gathered in front of Malacañang. President [Ferdinand] Marcos and First Lady Liza [Araneta-Marcos] panicked, cried)"
FALSE,"Hello. It’s official. Signed at 8:44 PM. It was even on TV. Mine really turned blue. Don’t forget that tomorrow starts the new Facebook rule (aka… new name, META) where they can use your photos. Don’t forget the deadline is today!!! I do not authorize META, Facebook or any entity associated with Facebook to use my photos, information, messages or posts, past or future. With this statement, I notify Facebook that it is strictly prohibited to disclose, copy, distribute or take any other action against me based on this profile and/or its contents. Violation of privacy may be punishable by law. Here’s how to do it: Hold your finger anywhere in this message and copy will appear. Click copy. Then go to your page, create a new post and place your finger anywhere in the empty field. Paste will appear and click Paste. This will bypass the system…. He who does nothing consents."
FALSE,"Pagkatapos Tumama Ng Pinaka Malaking SOLAR FLARE, Ito Ang Nangyari, Na Hindi Ibinabalita sa Mundo (After the biggest solar flare had hit, this is what happened that is not in the news worldwide)."
FALSE,"KAPAPASOK LANG: SA WAKAS BUMALIKTAD ang DOJ INURONG na ang KAS0 ni QUIBOLOY PAHIYA si RISA TALUNAN (Just in: Finally the DOJ flipped. Retracted the case against Quiboloy/ Risa is embarrassed, loser)."
FALSE,BATAAN NUCLEAR POWER PLANT. SOUTHEAST ASIA’S FIRST NUCLEAR POWER PLANT. WOW! FINALLY BUBUKSAN NA… ITO NA ANG SAGOT SA MAHAL NA KURYENTE (Will be opened finally… This is the solution to expensive electricity).
