RATING,QUOTE
MISLEADING,"BUHAY ANG ABS-CBN! Congressman Marcoleta, muling sinagot ang issue ng ibalik ni Sen. Risa Hontiveros ang prangkisa ng ABS-CBN (ABS-CBN is corrupt! Congressman Marcoleta, answered the issue again after Sen. Risa Hontiveros restored ABS-CBN’s franchise)!"
MISLEADING,"NAKAKATUWANG BALITA! BASTA SENIOR, AUTOMATIC MAY ₱10K AGAD! WALANG REQUIREMENTS! (Exciting news! All seniors will automatically HAVE P10K! No requirements!) WALANG PIPILIIN BASTA SENIOR CITIZEN! PIRMADO NA NI PRESIDENT BBM! P10K PER HEAD BASTA SENIOR KA (No vetting, as long as [you’re] a senior citizen! Signed by President BBM! P10K per head as long as you’re a senior)."
MISLEADING,"PINAS HUMANDA NA! Ang Kinatatakutang Solar Super Storm Sumasabog na, AUSTRALIA Shutdown Ang Signal. (Philippines be prepared! The dreaded solar superstorm is now exploding, Australia shut down its signal)."
MISLEADING,"KAKAPASOK LANG Good News Malacañang! PBBM sa Davao Kinausap mga Duterte NAGKAISA na PBBM PRRD VP SARA (Just in! Good news Malacañang! PBBM in Davao has talked to the Dutertes. Now united PBBM, PRRD, VP Sara)."
MISLEADING,"CHINA BINAWIAN NG PCG! GRABE PBBM IGINANTI NI TARRIELA! GYERA NA! BAJO DE MASINLOC! MALAKING GULO TO (PCG retaliates against China! Wow, Tarriela takes revenge on Marcos’s behalf! It’s war! This is a big mess),"
MISLEADING,KAKAPASOK LANG Grabe! Mga Media at PCSO ROBLES Wala ng KAWALA sa Matinding PASABOG ni SEN IMEE (Just in! Media and the PCSO Robles cannot escape from the intense exposé of Sen. Imee)
MISLEADING,"China Panicky ! U.S. & Australia Sends Troops and Armaments to the Philippines (Jan. 15, 2024),"
MISLEADING,KAKAPASOK LANG NAGKAGULO na PBBM Amerika mga KOREAN NAVY mga Sundalo Pumutok sa CHINA WPS Tinamaan (Just in. This is chaos. PBBM America Korean navy and troops fired at China. WPS was hit).
MISLEADING,"PILIPINAS may PASABOG sa CHINA, NAVY sinuri ang SUBMARINE at CORVETTE na ibibigay ng SOUTH KOREA (The Philippines has a bombshell on China; Navy inspected a submarine and a corvette that South Korea will give way)"
MISLEADING,"NAKU PO LAGOT KAYO! PH Coast Guard GUMAMIT NA Ng Water Cannon Sa WEST PH SEA (Oh no, you’re in trouble! The Philippine Coast Guard already used water cannon in the West Philippine Sea)!"
MISLEADING,"Buong kalagayan ngayon ni Michelle Dee,matapos isugod raw sa ospital sa El Salvador (Whole condition of Michelle Dee after she was rushed to a hospital in El Salvador)?"
MISLEADING,"ITO NAH!! PBBM PINAPAHANDA ANG AFP!! WILLIE REVILLAME PINANGARALAN SI ROBIN PADILLA PAHIYA (This is it! PBBM asked the AFP [Armed Forces of the Philippines] to get ready! Willie Revillame chided Robin Padilla, shame),"
MISLEADING,Hala Gobyerno BABAWIIN NA ang LUPANG INANGKIN ni SENIOR AGILA DENR AT SUNDALO PINALULUSOB sa SBSI (Oh no. The government will now take back the land claimed by Senior Agila. The DENR and army were ordered to charge into SBSI).
MISLEADING,Seryoso na ang Pangulo 20 Pesos na Bigas malapit na Tapos na ang mga araw niyo mga Smuggler ng Bigas (The president is serious. P20-per-kilo rice is near. The days of rice smugglers are numbered.)
