RATING,QUOTE
TRUE,"Isiniwalat ng isang tribal leader ang kabalbalang pinaggagawa umano ng mga New People's Army (NPA) laban sa mga lumad. Ayon sa panayam ng PTV sa nagpakilalang lumad lider, ginagahasa umano ng mga rebeldeng kumonista ang ilang mga lumad. Ang iba naman ay pinapatay. Kinakamkam din daw ng mga NPA ang kanilang mga ari-arian. Dahil sa pinaggagwa ng mga NPA, magsasampa ang mga lumad lider laban sa mga bandidong komunista. ""So, ang importante sa amin ngayon ,kailangan masampahan ang CPP-NPA ng kaso. Headed by Jose Maria Sison. Marami silang ginagawa. Ang mga kabataan namin ay pinag-aaral sa hindi totoong paaralan. Pangalawa, ang mga matatanda ay pinapatay pag hindi sumama sa kanila. Pangatlo, ang mga kabataan namin ay may mga abusong ginagawa. Pang-apat, ang aming ancestral domain, sila na ang nag-occupy. 'YUng army at sunadlo na ng NPA na ang nag-occupy. ""sabi ng Lumad Lider. Ikinagalit naman ng mga kababayan natin ang natuklasan nilang ginagawa ng mga NPA. ""Sayang bakit naputol yong vedio..ang sarap pakinggan pag tutuong lumad ang mgsasalita dhil malalaman mo tlga ang tutuong nangyayari sa kanila laban sa mga NPA teroristang grupo..patuloy po tayong sumportahan ang mga lumad laban sa mga rebelding NPA.""- Joban Brix. ""nsaan na si Gabriela at yong kabataan partylist hindi nag ingay,,, mga NPA ne rape ang mga dalagita na lumad. pero ang police ng rape sa 15 anyos khit nasibak na at nakulong na, napakaingay nila binanatan si president Duterte, hoy nsaan na kayo kabataan partylist at gabriela lumabas na kayo sa bahay nyo! No To NPA huwag iboto kalaban ng gobyerno!""- Leojane Domingo. ""Sa wakas may nagsampa rin ng kaso sa CPP-NDF, mabuhay suportado kayo namin at gov.lahat ng baho at panamamantala.ikaso ninyo..ng matauhan si matandang baliw joma sison. Magsampa din kayo sa ICC sa EJK pati na rin sa UNCHR sa mga kasong genocide pagpatay sa inyo kundi sasapi.nasaan na ang Gaston ng CHR at si Etang Rosales tagapagtangol ng demokrasya kanila lamang..mga salot anay ng bayan.""- Nilo Serdua Santos. ""wala akong alam sa international policies,, perk hindi ba pwedeng kasuhan nila si joma sison? kasi xa nman ang utak ng mga rebeldeng yan.... kung may bayag si Joma, umuwi xa at harapin nya ang gobyernong kinakalaban nya.""- Sid Ney. "" i hope tulungan ni tatay digong ang mga lumad sa pagsampa nila ng kaso against hukluban joma !! at wala atang nag iingay na yelloshit ah!! gabriela ayan na ung mga babaeng lumad na ginagahasa at chr naman sa mga taong pinapatay nung mga kampon ni joma!! mag-ingay na kau!""- Sinay Frei. Source: PTV"
TRUE,"Kilala ang Univeristy of the Philippines (UP) dahil isa ito sa 4 na sikat na unibersidad sa ating bansa. Pero sa mga nagdaan na panahon, unti-unting nababawasan ang paghanga ng ilang kababayan natin sa naturang paaralan. Ito ay dahil sa pagiging inggrato ng ilang estudyante nito laban sa kasalukuyang pamahalaan, sa kabila ng pagpirma ni Pangulong Rodrigo Duterte sa ""Universal Access to Quality Tertiary Education Act"". Mukhang hindi mali ang mga kababayan natin na mabawasan ang kanilang paghanga sa UP. Sa pinakahuling listahan kasi ng Top University sa Asya, hindi man lang nakapasok ang UP sa top 10 ng Asian university list of British company Quacquarelli Symonds. Sa katunayan umabot lang ito sa ika-72 na pwesto. Maalalang isa ang UP sa mga paaralan na pinangalanan ng Armed Forces of the Philippines na recruitment center umano ng Rebeldeng Komunista para sa kanilang 'Red October Plot' o ""Oust Duterte Movement"". Basahin ang ilang sa mga komento ng mga kababayan natin sa sinapit ng UP. Source: Philippine Star | CNN Philippines | CNN Philippines 2"
TRUE,"Ayon kay Tourism Secretary Bernadette Romulo-Puyat, inatasan siya ni Pangulong Rodrigo Duterte para ipatanggal ang mga banners at posters na nagpapasalamat sa Presidente sa paglinis at pagpapa-rehabilitate sa Boracay. Base pa sa kwento ni Puyat, hindi raw nagustuhan ng Pangulo ang mga papuri at naisawa pa umano ang punong ehekutibo. ""I saw a post - someone sent it to me - which says, 'Thank you PRDD for Saving Boracay'... He said that is corny. He doesn't like it. He doesn't want to be glorified,""ani Puyat. Ang Boracay Island ay magbubukas ngayon buwan matapos ang 6 na buwan na pag-rehabilitate sa isla. Matatandaang tinawag ng Pangulo na ""cesspool"" ang top tourist destination ng bansa dahil sa maruming sewage at piping system. Ilang ulat ang nagsabi na mataas ang coliform bacteria level sa isla. Ang coliform bacteria ay karaniwang nagmumula sa dumi ng mga tao at hayop. Base sa pahayag ng ilang kababayan natin, hindi na raw bago kay President Duterte ang ginawa nito. Kahit daw kasi sa Davao City, kung saan naging alkalde ito ay hindi niya ipinalalagay ang kanyang litrato sa mga proyekto ng lungsod. Ang ilang netizens naman ay ikinatuwa ang lideratong ipinakita ni Pangulong Duterte sa pagpalilinis ng Boracaay. Source: Philippine Star"
TRUE,"Sa opisyal na pagpapakilala ng mga taga-oposisyon sa kanilang mga kandidato para sa 2019 midterm elections, hindi mabigilan ni Leni Robredo ang kanyang bunganga at pinasaringan ang Duterte Administration. Ayon kay Leni, may mali daw na nangyari noong halalan 2016 at kailangan daw ito itama. ""Ano ba 'yung kung bakit binoto natin yung mga ibinoto natin noong 2016? Sana po ngayon 2019, kung may pagkakamali tayong nagawa noong eleksyon ng 2016, panahon po ito para itama natin ang 'yung ating mga mali,""sabi ni Uson Ang mga lumabas sa bunganga ni Leni ay hindi nagustuhan ng karamihan sa mga kababayan natin. Kung kayo ang tatanungin, ano ang mali noong 2016 elections? Source: News5"
TRUE,"Hindi pinalampas ni dating Presidential Communications Operations Office Assistant Secretary Mocha Uson ang tila pagpapalabas ng taga-oposisyon na si Senador Bam Aquino ang tila nasa likod ng libreng matrikula sa kolehiyo. Sa opisyal na pagpapakilala kasi ng mga kandidato ng oposisyon, nakalagay sa screen ang mukha ni Bam at may salitang, ""Free Higher Education for All"". Matatandaang noong panukalang batas pa lang ang REPUBLIC ACT No. 10931 o ""UNIVERSAL ACCESS TO QUALITY TERTIARY EDUCATION Law"", hindi lang si Bam kundi 7 pang senador ang nagpanukala nito (Senators Recto, Villanueva, Ejercito, Gatchalian, Pangilinan, Angara, at Legarda), na kalunan ay pinirmahan ni Pangulong Rodrigo Duterte. ""Sabi na nga ba gagamitin mo ito sa kampanya. KAPAL NG MUKHA MO BAM, Mahiya ka naman sa taumbayan. Kelan pa naging sayo yan. Tax ng bayan yan eh,""sabi ni Uson Basahin ang naging komento ng mga kababayan natin sa opinyon ni Uson kay Bam. Source: Mocha Uson Blog | Senate of the Philippines"
TRUE,"Para kay Senadora Risa Hontiveros, minamalas daw ang mga Pilipino dahil sa pamamahala ni Pangulong Duterte sa bansa. Reklamo ng senadora na kilalang kritiko ni Pangulong Duterte, puro korapsyon umano ang kasalukuyang gobyerno at wala raw maayos na tugon laban sa droga. Matatandaang isa si Hontiveros sa mga bumabatikos noong kasagsagan ng kampanya kontra-droga ni Presidente Duterte. ""Minamalas ang mga Pinoy sa murang shabu at mahal na bigas dahil sa korapsyon at kawalan ng maayos na tugon ng gobyerno ni Pangullong Duterte,"" sabi ni Risa sa kanyang Facebook page. Nakakapagtaka lang na panay ang puna ni Hontiveros tungkol sa pagtaas ng presyo ng bigas kahit may mga ulat na diumanoy may mga negosyanteng na nagho-hoard ng bigas para manipulahin ang presyo nito sa merkado. Naligo naman ng batikos si Risa mula sa mga netizens sa mismong Facebook post niya. Source: Risa Hontiveros | UNTV | Greco Belgica"
TRUE,Nagsidatingan na ang mga makabagong air-conditioning units (ACU) na binili ng gobyerno para pagandahin ang serbisyo ng MRT3. Inaasahan ng Department of Transportation na magiging mas kumportable ang pagbiyahe ng mga kababayan natin sa pamamagitan ng mga bagong ACU. Aabot sa 78 na ACU ang nabili ng pamahalaan at nagkakahalaga ang mga ito ng P116.5 milyong piso. Ito ang ilan sa mga litrato habang ikinakabit ang mga nasabing ACU. Ikinatuwa naman ng mga kababayan natin ang aksyon ng gobyerno para pagandahin ang isa sa mga transport system ng bansa. Pakikalat po ang magandang balita na ito para malabanan natin ang mga paninira ng ilang grupo sa ating gobyerno. Source: ABS-CBN | DoTR
TRUE,"Pinagpi-piyestahan ngayon ng mga kababayan natin ang kumakalat na video sa social media tungkol sa diumano'y dayaan na nangyari daw sa SM Bacoor sa isinagawang raffle promo. Ang premyo sa naturang promo ay isang bagong kotse (Suzuki Dzire Swift). Nag-ugat ang pagdududa ng mga kababayan natin dahil sa naging kilos ng opisyal ng SM Mall habang isinasagawa ang raffle draw. Ayon sa mga netizens, kapansin-pansin daw na hindi inalis ng SM official ang kaliwang kamay nito sa kanyang bulsa habang kumukuha ng raffle entry sa tambiolo. At nang may nakuha daw na winning raffle entry, sabay na ginamit umano ng opisyal ang kanyang kaliwa't-kanang kamay at ibinigay ang winning entry sa kawani ng Department of Trade and Industries (DTI). Ayon sa uploader ng video na si Norman Sanez Ramirez, galing daw ang video sa Facebook page mismo ng SM Bacoor pero binura na daw ito sa FB page ng SM. Nai-save niya daw ang naturang video para malaman kung totoo bang may nangyaring dayaan. ""This was originally a live video from Sm Bacoor page but it seems that the video was already been deleted. This post was not intended to hurt or ruin someone else's life or family please stop bashing guys, gusto lang din naman pong malaman nang iba kung totoo ba o hindi yung nakitang pandaraya, i know they are just doing their job haiz""sabi ni Ramirez. Binura na po ng original uploader ang kanyang video, pero may ilang Facebook pages na nakapag-upload ng nasabing video. Habang isinusulat ang artikulong ito ay umabot na sa mahigit 30,000 ang nag-bahagi ng video at umani na rin ng sari-saring reaksyon mula sa mga kababayan natin. May hokus-pokus nga ba na nangyari? Ano sa tingin niyo? Source: Norman Sanez Ramirez"
TRUE,"""I like Duterte, your president very very much. I know some people don't like Duterte, however, Duterte is a geniune Pinoy, genuine man who want to save the Philippines."" Ganito ang naging pahayag ng isang Emirati na nakilala lamang sa pangalang Dr. Salem. Sa Facebook video na kumakalat na ngayon, ibinahagi ni Salem ang kanyang paghanga sa Pangulo ng Pilipinas. Ayon kay Selam, dapat daw suportahan ng mga Pilipino si Presidente Duterte para umunlad muli ang Pilipinas at ginagawa raw ng Pangulo ang lahat para bigyan ng dangal ang lahat ng Pilipino. ""I know many Pinoys and Pinays who are doctors, nurses, engineers, but they are working in my country as waiters, they work in hospitals as a cleaners, janitors, not as doctor because of the corruption in the Philippines. And Duterte worked very hard to give Philippines honor, to give Philippines good opportunity to rise again. Philippines is a very rich country but because of lots of corruptions and lots of people who steal the country goes down. But I am sure with your support to this man (Duterte) and with good people like you, the Philippines will flourish again.""sabi ni Salem. Ikinatuwa naman ng mga kababayan natin ang naging komento ni Dr. Salem sa ating Pangulo. Source: Filipino Viewer"
TRUE,"Ayon sa pinakahuling Social Weather Station survey, naniniwala ang karamihan sa mga Pilipino na tumutungo ang bansa natin sa tamang direksyon. 75% ang nagsasabing tamang direksyon ang tinatahak ng Pilipinas, 22% naman ang may opinyon na mali ang direksyon ng bansa, habang 3% naman ang naguguluhan. Matatandaang noong Hunyo 2018, lumabas sa survey na 70% lang ang naniniwalang nasa tamang direksyon ang bansa. Samakatuwid, tumaas ang kumpiyansa ng mga Pilipino sa pagpapatakbo ng gobyerno sa bansa at hindi na-apektuhan ng mga balita tungkol sa inflation. Sari-saring reakssyon naman ang naging tugon ng mga kababayan natin sa naturang survey. Sang-ayon ba kayo sa naging resulta ng survey? Paki-kalat po ito kung OO. Source: News5"
