RATING,QUOTE
FAKE,"Actually against din ako sa barrier na yan sa mga motorsiklo,siguro ma i a advice ko lang ,dapat siguro naka talikod ung angkas para hindi na kailangan ng barrier na yan (Actually, I am also against those barriers on motorcycles. What I can advise, maybe, is that the passenger should turn backwards so a barrier would not be needed)."
FAKE,"ARESTADO NA SI NOYNOY AQUINO PASOK NA SA KULUNGAN SA KASONG GRAFT (Noynoy Aquino arrested, jailed for graft),"
FAKE,"SA LAHAT NG MGA NAKA ONLINE NGAYUN (sic) AY SWERTRE (sic) PO KAYU (sic) DAHIL MAGBIBIGAY AKO SA BAWAT TAO NA NAKA ONLINE AT MAKA MASSAGE (sic) SA AKINN (sic) (To all who are currently online, you’re lucky because I will be giving [money] to all who are online and will be messaging me)."
FAKE,Paano ang mga preso? Sila dapat ay pansamantala ng palayain. Hahayaan na lang ba natin sila magkasakit sa kulungan (What about the prisoners? They should be temporarily freed. Will we just allow them to get sick in prison)?
FAKE,"PCG HIRING 2024. APPLICATION NOW OPENED. PHILIPPINE COAST GUARD HIRING: K12 GRADUATES. 5’0 Height Above. NO AGE LIMIT. P43,000.00 Monthly Salary."
FAKE,BREAKING NEWS: KOBE BRYANT’s ELDEST DAUGHTER ‘NATALIA BRYANT’ left a ‘Suicide VIDEO’ of Herself ‘COMMITTING SUICIDE’ After BEING BULLIED… | BBC-News
FAKE,SHOCKING! President Duterte Pumalagsa Gusto ni Leni na Gawing Legal ang Druga sa Bansa (Shocking! President Duterte rejects Leni’s proposal to legalize drugs in the country).
FAKE,"Dahil sa pagkatalo ng Ocho Derecho ay nanganganib na magunaw ang buong Mundo, Mababawi lamang natin ang Sumpa kung ibabagsak natin ang rehimen Duterte at iupo natin bilang bagong banal na pangulo si Leni Robredo ang babaeng hindi nagkasala at ang taga tubos ng sanglibutan (Because of Ocho Derecho’s loss, the world is at risk of collapse. We can only reverse the curse if we bring down the Duterte regime and put at the seat the new, holy president Leni Robredo, the woman without sin and the savior of the world)."
FAKE,"JUST IN – MATAPOS PATUL0Y na PANIN!RA sa GOBYERNO, KORING HARAPANG TINULD0KAN, LISENSYA TANGGAL na (After continuously defaming the government, Korina faced the end of her career. License now revoked)!"
FAKE,"pilipinas mag handa na.. tayo na ang pinaka mayaman sa lahat. PBBM kinuha na ang marcos account sa belgium $987B (Philippines, get ready… We’re now the richest country ever. President Marcos has got the Marcos account in Belgium [worth] $987 billion)."
