RATING,QUOTE
FAKE,BREAKING NEWS! BANGKAY NI KRIS AQUINO PABALIK NA SA BANSA | Kris Aquino Pumanaw Na (Kris Aquino’s corpse headed back to the country | Kris Aquino has passed away)!
FAKE,"BUKOL SA MATRES: Paano Maalis Ang Ovarian Cyst (CYST IN THE UTERUS: How to Remove Ovarian Cyst). IT’S BETTER [TO BE] SAFE THAN SORRY. LIGTAS – MABISA – MATIPID (SAFE, EFFECTIVE AND CHEAP), RECOMMENDED BY DOCTORS, CASH ON DELIVERY (COD). Ang DTX500 daw ay makakatulong sa malubha niyang sakit. Agad siyang bumili para masubukan kung ito ba ay epektibo talaga. Matapos ang isang halos dalawang buwan, unti-unti raw bumuti ang pakiramdam niya, hanggang nalampasan na niya ang taning na binigay sa kaniya ng mga doctor (DTX500 is said to help ease her severe illness. She immediately bought it to test if it was really effective. After about two months, she gradually felt better, until she went past the time the doctors said she would live)."
FAKE,CCTV REPORT: Paalam Queen of All Media Ms. Kris Aquino. Makakasama Mo Na Rin ang mga Magulang Mo. 1971-2018 (CCTV Report: Goodbye Queen of All Media Ms. Kris Aquino. You’ll finally be with your parents. 1971-2018).
FAKE,"Kayong mga MUSLIM bumalik na kayo sa MINDANAO doon kayo nararapat hindi dito sa MAYNILA mga Batang Maynila lang ang dapat nandito sa Maynila hindi kayo (You Muslims should go back to Mindanao, that’s where you belong, not here in Manila. Only the Manila-born should be here in Manila, not you guys)."
FAKE,"Some screenshots of GMA’s Eleksyon 2022 television coverage and results website have been edited and manipulated to feature false election results, and spread on social media by unscrupulous accounts,"
FAKE,KRIS AQUINO NAG COLLAPSE SA LAMAY NI JOVIT BALDIVINO! PUMANAW NA (KRIS AQUINO COLLAPSED DURING JOVIT BALDIVINO’S WAKE! [SHE] HAS PASSED AWAY)! ACTUAL FULL VIDEO NAKUHA SA LAMAY (TAKEN FROM THE WAKE)! Thank (sic) For Watching.
FAKE,SMART ENERGY POWER SAVING DEVICE NAPATUNAYANG EPEKTIBO AYON SA DOE (SMART ENERGY POWER SAVING DEVICE PROVEN TO BE EFFECTIVE ACCORDING TO DOE).
FAKE,Genius student from Manila wanted for justice because of the creation of a fat burner that helps you lose 27 kilograms in 30 days!
FAKE,"Drug Suspek Na Estudyanteng Babae Ng Ateneo Pinaghubad At Pinatuwad Ng Mga Pulis (Female Ateneo student who is a drug suspect, ordered to strip and bend over by police) "
FAKE,"It’s not only insensitive and callous, but also, dangerous, since it downplays the urgency and necessity of immediate relief and food assistance to those whose jobs and livelihood are now heavily affected."
FAKE,LOOK: The hashtag #LetSaraLead has topped Philippine Twitter trends as of 11PM on Monday after former BBM supporters called for Pres. Bongbong Marcos Jr. to resign over ‘broken promises.’ ‘Magparty ka na lang’ and #BBMResign are also among the trending topics.
FAKE,"RELASYON NI RISA HONTIVEROS AT AKBAYAN REP. TOM VILLARIN NABISTO! PANOORIN (Relationship of Risa Hontiveros and Akbayan Rep. Tom Villarin exposed! Watch)!,"
FAKE,Ang kalaban natin ay ang mga salot na Komunista. Ginawa lang ni Gen. Palparan ang tungkulin nyang proteksyonan ang bayan!#FreeThePatriot#FreePalparanNow (Our enemy are the pestilent communists. Gen. Palparan only did his job to protect the country!)
FAKE,JUST NOW: OMG! KUMPIRMADO PNOY nagtatago lang sa AMERICA? PNOY at KRIS BlNUNYAG ng isang SAKSI? ([Aquino] confirmed to be hiding in America? A witness exposed [him and his sister Kria Aquino]?)
FAKE,"BREAKING NEWS: IATF has allowed Seniors to go anywhere they like during the GCQ as long as they are accompanied by their parents. Source: Jay Sonza, This is just one example…, May 4, 2020"
FAKE,"‘DUTERTE, PLEASE SAVE AMERICA’ 100,000 americans gathered to force-elect President Rodrigo Duterte in US."
