RATING,CONCAT QUOTES
0,FALSE,MINURA NI PANGULONG DUTERTE SI KIKO PANGILINAN AT BASURANG DILAWAN. PANOORIN (President Duterte cursed at Kiko Pangilinan and yellow garbage. Watch).         
1,FALSE,"Grand Opening: Japan Air Cooler, Sale Off 50%         "
2,FALSE,"Sandro Marcos Sumabog sa GALIT, Raoul Manuel Ipapakulong na (Sandro Marcos burst into anger, Raoul Manuel to be jailed).         "
3,FALSE,U.S. Government Finally Admits Cannabis Really Does Kill Cancer Cells. Cannabinoids May Be Useful in Treating The Side Effects of Cancer and Cancer Treatment.        
4,FALSE,Ang pinaka mapait at masakit sa mata. Ang ginawa ni bagyong paeng sa ating mga magigiting na magsasaka. PRAY FOR FARMERS! Ipanalangin natin ang mga apektado especially ang mga nawalan ng mahal sa buhay. (The most bitter and painful to the eye. What typhoon paeng did to our brave farmers. PRAY FOR FARMERS! Let’s pray for those affected especially those who lost loved ones.)         
5,FALSE,"Sinabi pang may zombie outbreak na raw sa China pero tinatago lang ito ng gobyerno nila para hindi mag-panic ang mga tao (It’s been said that there’s a zombie outbreak in China but their government is covering it up it so people would not panic),         "
6,FALSE,"In a new report published on the COA website, state auditors said the Quezon City government’s purchases violated the Procurement Law and its implementing regulations, as well as accounting rules. Source: Mike Defensor Official Facebook Page, Media Release (Archive), Jan. 23, 2022         "
7,FALSE,never sent anybody to jail for talking or bad mouthing         
8,FALSE,Mga bangkay na naKita sa hagupit (Corpses found after the fury) #OdettePH 12/16/2021 #TyphonOdettePH #Mindanao #HagupitNiBagyongOdette #RIP.         
9,FALSE,"CHINA UMATRAS NA! PBBM GINULAT NG CANADA! PIRMADO NA GYERA! MUTUAL DEFENSE TREATY AT PERMANENTE EDCA. (China steps back! PBBM shocked by Canada! War, mutual defense treaty and permanent Enhanced Defense Cooperation Agreement was signed).         "
10,FALSE,American hinahamon Ang china sa gyera (U.S. challenges China to war)         
11,FALSE,"WEBB: To some, Secretary Roque, 85 percent might be a bit too high because when you look at even … let’s compare ourselves to the countries in Southeast Asia. We are the No. 1, (with) the highest COVID-19 cases in Southeast Asia and, No. 2, when you look at all the articles online, it never says … you will never find the Philippines being set as a role model in addressing COVID-19. Whereas, you have Korea—well, iba po iyon… ROQUE: Well, let me correct you. The New York Times cited the Philippines as having succeeded in lowering the numbers and keeping the numbers low. That’s the New York Times! And we were, in fact, clustered together with countries like Korea already, ‘no, in that classification…Isipin na lang po natin…marami nang namatay, pero mas marami pa pong dapat namatay. Iyong ikinatatakot natin na sangkatutak ang mamamatay dahil sa pandemya, hindi po nangyari dahil tayo po iyong kauna-unahang nag-lockdown. (Let’s just think that…many people have died, but more would have died. Our fear that lots of people will die due to the pandemic didn’t happen because we were the first [country] to impose a lockdown.) Source: CNN Philippines Official Youtube Channel, The Source: Harry Roque, Sept. 16, 2020 watch from 19:34 to 21:10         "
12,FALSE,CHINA VS PILIPINAS BUMANAT NA (CHINA VS PHILIPPINES ALREADY HIT!) PHILIPPINE VINES BREAKING NEWS VIRAL.         
13,FALSE,"normal physiologic movements not related to death,         "
